case_id,statute,offense_category,penalty,risk_of_escape,risk_of_influence,surety_bond_required,personal_bond_required,Lawyer Name,Client Name,Client ID,Case Details
76,CrPC,Offences Against the State,Fine,False,True,True,False,Rajesh Kumar,Manoj Tiwari,1076,Case details here
77,IPC,Crimes Against Foreigners,Imprisonment,False,True,True,False,Rajesh Kumar,Ananya Sen,1077,Case details here
78,NDPS,Crimes Against Women,Fine,True,False,True,False,Priya Verma,Sneha Roy,1078,Case details here
79,NDPS,Economic Offence,Fine,True,False,True,True,Priya Verma,Kiran Malhotra,1079,Case details here
80,NDPS,Crimes Against SCs and STs,Both,True,False,False,False,Amit Sharma,Sneha Roy,1080,Case details here
81,SCST Act,Crimes Against Children,Both,True,True,True,True,Anil Kapoor,Sneha Roy,1081,Case details here
82,IPC,Crimes Against SCs and STs,Imprisonment,True,True,False,False,Vikram Choudhary,Kiran Malhotra,1082,Case details here
83,SCST Act,Offences Against the State,Fine,False,False,False,False,Amit Sharma,Sneha Roy,1083,Case details here
84,SCST Act,Cyber Crime,Fine,False,True,True,True,Neha Singh,Manoj Tiwari,1084,Case details here
85,IPC,Crimes Against Foreigners,Both,False,False,True,False,Amit Sharma,Sandeep Yadav,1085,Case details here
86,IPC,Cyber Crime,Fine,False,False,False,True,Anil Kapoor,Sneha Roy,1086,Case details here
87,IPC,Crimes Against Children,Fine,True,True,False,True,Rajesh Kumar,Rahul Gupta,1087,Case details here
88,IPC,Cyber Crime,Fine,True,True,True,False,Anil Kapoor,Manoj Tiwari,1088,Case details here
89,NDPS,Cyber Crime,Both,True,False,True,False,Amit Sharma,Rahul Gupta,1089,Case details here
90,PMLA,Crimes Against Children,Imprisonment,False,False,True,False,Sunita Mehta,Rahul Gupta,1090,Case details here
91,PMLA,Economic Offence,Imprisonment,True,False,False,False,Anil Kapoor,Sandeep Yadav,1091,Case details here
92,IPC,Economic Offence,Fine,False,False,False,True,Sunita Mehta,Deepak Joshi,1092,Case details here
93,PMLA,Crimes Against Children,Imprisonment,True,True,True,True,Vikram Choudhary,Sandeep Yadav,1093,Case details here
94,PMLA,Crimes Against Foreigners,Both,True,False,False,False,Priya Verma,Sneha Roy,1094,Case details here
95,IPC,Offences Against the State,Both,False,False,False,True,Anil Kapoor,Sneha Roy,1095,Case details here
96,PMLA,Cyber Crime,Imprisonment,True,False,True,True,Vikram Choudhary,Sandeep Yadav,1096,Case details here
97,SCST Act,Crimes Against Foreigners,Imprisonment,True,True,True,False,Amit Sharma,Deepak Joshi,1097,Case details here
98,CrPC,Cyber Crime,Fine,False,True,False,True,Rajesh Kumar,Rahul Gupta,1098,Case details here
99,CrPC,Offences Against the State,Imprisonment,True,False,False,True,Neha Singh,Deepak Joshi,1099,Case details here
100,IPC,Economic Offence,Fine,False,True,True,False,Neha Singh,Ananya Sen,1100,Case details here
101,NDPS,Crimes Against Foreigners,Fine,True,True,True,True,Rajesh Kumar,Rahul Gupta,1101,Case details here
102,IPC,Crimes Against Women,Both,True,True,True,False,Priya Verma,Sandeep Yadav,1102,Case details here
103,NDPS,Crimes Against Women,Both,True,False,True,True,Priya Verma,Sneha Roy,1103,Case details here
104,CrPC,Crimes Against Women,Both,True,False,True,False,Sunita Mehta,Sneha Roy,1104,Case details here
105,IPC,Economic Offence,Both,True,True,False,True,Priya Verma,Deepak Joshi,1105,Case details here
106,SCST Act,Economic Offence,Imprisonment,True,False,False,True,Neha Singh,Kiran Malhotra,1106,Case details here
107,PMLA,Offences Against the State,Both,True,False,False,False,Sunita Mehta,Ananya Sen,1107,Case details here
108,NDPS,Cyber Crime,Imprisonment,True,True,False,False,Priya Verma,Ananya Sen,1108,Case details here
109,PMLA,Offences Against the State,Both,False,True,True,False,Neha Singh,Sandeep Yadav,1109,Case details here
110,PMLA,Offences Against the State,Imprisonment,False,False,True,False,Sunita Mehta,Sneha Roy,1110,Case details here
111,IPC,Economic Offence,Fine,True,True,True,True,Rajesh Kumar,Kiran Malhotra,1111,Case details here
112,PMLA,Crimes Against Women,Imprisonment,True,False,False,True,Vikram Choudhary,Rahul Gupta,1112,Case details here
113,SCST Act,Crimes Against SCs and STs,Imprisonment,False,False,False,True,Priya Verma,Manoj Tiwari,1113,Case details here
114,PMLA,Cyber Crime,Both,True,True,False,False,Priya Verma,Deepak Joshi,1114,Case details here
115,IPC,Economic Offence,Imprisonment,True,False,True,True,Sunita Mehta,Sneha Roy,1115,Case details here
116,SCST Act,Crimes Against Women,Fine,False,False,False,True,Priya Verma,Kiran Malhotra,1116,Case details here
117,CrPC,Crimes Against Foreigners,Fine,True,True,True,False,Vikram Choudhary,Ananya Sen,1117,Case details here
118,PMLA,Crimes Against SCs and STs,Both,True,True,True,False,Amit Sharma,Sneha Roy,1118,Case details here
119,IPC,Crimes Against SCs and STs,Fine,False,True,True,True,Vikram Choudhary,Kiran Malhotra,1119,Case details here
120,CrPC,Economic Offence,Imprisonment,True,False,True,False,Priya Verma,Sneha Roy,1120,Case details here
121,CrPC,Crimes Against Children,Fine,True,True,True,True,Neha Singh,Manoj Tiwari,1121,Case details here
122,NDPS,Cyber Crime,Both,False,True,True,True,Rajesh Kumar,Sandeep Yadav,1122,Case details here
123,SCST Act,Crimes Against SCs and STs,Imprisonment,True,True,False,False,Neha Singh,Rahul Gupta,1123,Case details here
124,PMLA,Economic Offence,Both,False,True,True,True,Anil Kapoor,Sneha Roy,1124,Case details here
125,IPC,Economic Offence,Imprisonment,True,False,True,False,Vikram Choudhary,Deepak Joshi,1125,Case details here
126,NDPS,Crimes Against Women,Fine,True,False,False,False,Sunita Mehta,Kiran Malhotra,1126,Case details here
127,SCST Act,Crimes Against Foreigners,Both,False,True,True,True,Vikram Choudhary,Deepak Joshi,1127,Case details here
128,NDPS,Crimes Against Children,Both,False,False,False,True,Vikram Choudhary,Deepak Joshi,1128,Case details here
129,SCST Act,Cyber Crime,Imprisonment,True,True,False,True,Rajesh Kumar,Sneha Roy,1129,Case details here
130,SCST Act,Offences Against the State,Both,False,True,False,False,Vikram Choudhary,Sneha Roy,1130,Case details here
131,PMLA,Crimes Against Foreigners,Imprisonment,False,False,True,True,Vikram Choudhary,Ananya Sen,1131,Case details here
132,SCST Act,Crimes Against Foreigners,Imprisonment,True,False,True,False,Neha Singh,Kiran Malhotra,1132,Case details here
133,NDPS,Crimes Against Women,Imprisonment,True,True,False,False,Neha Singh,Deepak Joshi,1133,Case details here
134,SCST Act,Crimes Against SCs and STs,Imprisonment,True,True,True,True,Vikram Choudhary,Sneha Roy,1134,Case details here
135,PMLA,Crimes Against SCs and STs,Fine,False,False,True,False,Neha Singh,Rahul Gupta,1135,Case details here
136,PMLA,Crimes Against Women,Imprisonment,False,True,False,True,Neha Singh,Sneha Roy,1136,Case details here
137,NDPS,Economic Offence,Both,False,False,False,True,Rajesh Kumar,Deepak Joshi,1137,Case details here
138,CrPC,Crimes Against SCs and STs,Fine,False,True,True,True,Rajesh Kumar,Kiran Malhotra,1138,Case details here
139,CrPC,Crimes Against Children,Both,True,True,False,True,Amit Sharma,Manoj Tiwari,1139,Case details here
140,SCST Act,Cyber Crime,Fine,False,False,False,True,Vikram Choudhary,Kiran Malhotra,1140,Case details here
141,IPC,Crimes Against Foreigners,Imprisonment,True,False,False,True,Rajesh Kumar,Sandeep Yadav,1141,Case details here
142,SCST Act,Crimes Against Foreigners,Fine,False,False,True,True,Neha Singh,Kiran Malhotra,1142,Case details here
143,NDPS,Crimes Against Children,Fine,True,False,True,False,Amit Sharma,Sandeep Yadav,1143,Case details here
144,NDPS,Crimes Against SCs and STs,Both,True,False,True,True,Rajesh Kumar,Sneha Roy,1144,Case details here
145,NDPS,Crimes Against Foreigners,Both,True,False,False,False,Priya Verma,Sandeep Yadav,1145,Case details here
146,NDPS,Offences Against the State,Imprisonment,False,False,True,False,Rajesh Kumar,Ananya Sen,1146,Case details here
147,NDPS,Cyber Crime,Fine,True,True,False,False,Anil Kapoor,Rahul Gupta,1147,Case details here
148,PMLA,Cyber Crime,Fine,True,True,True,True,Sunita Mehta,Manoj Tiwari,1148,Case details here
149,CrPC,Crimes Against Foreigners,Fine,False,True,True,False,Rajesh Kumar,Sneha Roy,1149,Case details here
150,NDPS,Crimes Against Women,Imprisonment,True,False,False,False,Vikram Choudhary,Sandeep Yadav,1150,Case details here
151,IPC,Crimes Against Foreigners,Imprisonment,False,False,True,True,Anil Kapoor,Sneha Roy,1151,Case details here
152,IPC,Crimes Against Women,Imprisonment,False,False,False,True,Rajesh Kumar,Ananya Sen,1152,Case details here
153,IPC,Crimes Against Foreigners,Imprisonment,True,True,True,False,Anil Kapoor,Deepak Joshi,1153,Case details here
154,IPC,Offences Against the State,Imprisonment,True,False,True,True,Priya Verma,Deepak Joshi,1154,Case details here
155,PMLA,Economic Offence,Both,False,False,False,True,Neha Singh,Rahul Gupta,1155,Case details here
156,IPC,Cyber Crime,Fine,True,True,False,True,Amit Sharma,Deepak Joshi,1156,Case details here
157,NDPS,Crimes Against Foreigners,Fine,False,False,False,True,Anil Kapoor,Kiran Malhotra,1157,Case details here
158,SCST Act,Offences Against the State,Fine,False,True,True,False,Vikram Choudhary,Manoj Tiwari,1158,Case details here
159,IPC,Crimes Against Women,Fine,False,True,True,True,Neha Singh,Manoj Tiwari,1159,Case details here
160,PMLA,Crimes Against Women,Fine,True,False,True,True,Anil Kapoor,Rahul Gupta,1160,Case details here
161,PMLA,Cyber Crime,Fine,False,False,False,True,Neha Singh,Manoj Tiwari,1161,Case details here
162,IPC,Crimes Against Children,Fine,True,False,False,False,Rajesh Kumar,Deepak Joshi,1162,Case details here
163,SCST Act,Crimes Against Foreigners,Fine,True,True,False,False,Rajesh Kumar,Sneha Roy,1163,Case details here
164,IPC,Crimes Against SCs and STs,Both,True,True,True,True,Neha Singh,Rahul Gupta,1164,Case details here
165,PMLA,Crimes Against Women,Fine,True,True,True,True,Sunita Mehta,Deepak Joshi,1165,Case details here
166,CrPC,Economic Offence,Both,False,False,False,False,Anil Kapoor,Manoj Tiwari,1166,Case details here
167,NDPS,Economic Offence,Imprisonment,True,False,True,True,Sunita Mehta,Rahul Gupta,1167,Case details here
168,PMLA,Crimes Against Women,Fine,False,False,False,True,Sunita Mehta,Kiran Malhotra,1168,Case details here
169,IPC,Crimes Against Children,Imprisonment,False,False,True,False,Rajesh Kumar,Deepak Joshi,1169,Case details here
170,NDPS,Crimes Against Children,Imprisonment,True,True,True,True,Neha Singh,Kiran Malhotra,1170,Case details here
171,IPC,Offences Against the State,Imprisonment,False,True,False,True,Amit Sharma,Rahul Gupta,1171,Case details here
172,IPC,Economic Offence,Both,False,True,True,False,Amit Sharma,Kiran Malhotra,1172,Case details here
173,CrPC,Offences Against the State,Imprisonment,True,True,True,False,Anil Kapoor,Sandeep Yadav,1173,Case details here
174,NDPS,Economic Offence,Imprisonment,False,False,False,True,Anil Kapoor,Kiran Malhotra,1174,Case details here
175,NDPS,Crimes Against Foreigners,Imprisonment,False,False,False,False,Anil Kapoor,Sneha Roy,1175,Case details here
176,CrPC,Crimes Against Foreigners,Fine,False,False,True,True,Priya Verma,Manoj Tiwari,1176,Case details here
177,PMLA,Crimes Against SCs and STs,Fine,False,True,False,True,Anil Kapoor,Rahul Gupta,1177,Case details here
178,IPC,Crimes Against Foreigners,Both,True,True,True,True,Neha Singh,Rahul Gupta,1178,Case details here
179,SCST Act,Crimes Against SCs and STs,Both,False,False,False,False,Vikram Choudhary,Rahul Gupta,1179,Case details here
180,IPC,Crimes Against Foreigners,Fine,False,False,True,False,Sunita Mehta,Sandeep Yadav,1180,Case details here
181,IPC,Cyber Crime,Both,False,True,True,True,Amit Sharma,Ananya Sen,1181,Case details here
182,PMLA,Crimes Against Foreigners,Fine,False,False,False,True,Priya Verma,Manoj Tiwari,1182,Case details here
183,IPC,Offences Against the State,Imprisonment,True,True,True,False,Neha Singh,Ananya Sen,1183,Case details here
184,CrPC,Crimes Against Women,Imprisonment,False,True,True,False,Priya Verma,Ananya Sen,1184,Case details here
185,CrPC,Offences Against the State,Both,True,True,False,False,Priya Verma,Deepak Joshi,1185,Case details here
186,NDPS,Crimes Against Women,Fine,False,False,False,True,Neha Singh,Sneha Roy,1186,Case details here
187,SCST Act,Crimes Against Children,Fine,True,False,True,False,Amit Sharma,Rahul Gupta,1187,Case details here
188,IPC,Offences Against the State,Both,True,True,False,False,Sunita Mehta,Sneha Roy,1188,Case details here
189,IPC,Crimes Against Children,Fine,True,False,False,True,Priya Verma,Kiran Malhotra,1189,Case details here
190,PMLA,Crimes Against SCs and STs,Imprisonment,True,True,True,True,Vikram Choudhary,Deepak Joshi,1190,Case details here
191,CrPC,Crimes Against SCs and STs,Both,True,True,True,True,Sunita Mehta,Sneha Roy,1191,Case details here
192,SCST Act,Cyber Crime,Both,False,True,False,False,Amit Sharma,Manoj Tiwari,1192,Case details here
193,NDPS,Crimes Against Foreigners,Fine,False,True,False,True,Sunita Mehta,Kiran Malhotra,1193,Case details here
194,CrPC,Offences Against the State,Both,False,False,False,True,Vikram Choudhary,Sneha Roy,1194,Case details here
195,NDPS,Crimes Against Children,Fine,True,True,True,True,Neha Singh,Rahul Gupta,1195,Case details here
196,PMLA,Crimes Against Women,Fine,False,True,True,True,Amit Sharma,Kiran Malhotra,1196,Case details here
197,PMLA,Crimes Against SCs and STs,Fine,True,False,True,False,Amit Sharma,Sandeep Yadav,1197,Case details here
198,IPC,Crimes Against Foreigners,Fine,True,True,True,True,Amit Sharma,Deepak Joshi,1198,Case details here
199,SCST Act,Crimes Against SCs and STs,Fine,False,True,True,False,Rajesh Kumar,Sneha Roy,1199,Case details here
200,NDPS,Crimes Against Women,Both,False,False,True,False,Vikram Choudhary,Manoj Tiwari,1200,Case details here
201,CrPC,Crimes Against Foreigners,Imprisonment,True,False,True,False,Neha Singh,Sandeep Yadav,1201,Case details here
202,PMLA,Crimes Against Foreigners,Imprisonment,True,False,False,True,Priya Verma,Ananya Sen,1202,Case details here
203,IPC,Crimes Against Children,Both,False,True,False,False,Sunita Mehta,Kiran Malhotra,1203,Case details here
204,IPC,Crimes Against Children,Both,False,False,True,True,Amit Sharma,Rahul Gupta,1204,Case details here
205,NDPS,Offences Against the State,Imprisonment,False,False,True,True,Neha Singh,Ananya Sen,1205,Case details here
206,PMLA,Offences Against the State,Imprisonment,False,True,True,True,Vikram Choudhary,Rahul Gupta,1206,Case details here
207,SCST Act,Economic Offence,Imprisonment,True,True,False,False,Priya Verma,Sneha Roy,1207,Case details here
208,PMLA,Economic Offence,Imprisonment,False,True,True,True,Anil Kapoor,Ananya Sen,1208,Case details here
209,NDPS,Cyber Crime,Imprisonment,False,True,False,True,Rajesh Kumar,Rahul Gupta,1209,Case details here
210,NDPS,Crimes Against SCs and STs,Fine,False,True,False,True,Anil Kapoor,Manoj Tiwari,1210,Case details here
211,PMLA,Offences Against the State,Both,True,False,False,False,Amit Sharma,Sandeep Yadav,1211,Case details here
212,NDPS,Crimes Against Children,Fine,True,False,False,False,Anil Kapoor,Ananya Sen,1212,Case details here
213,PMLA,Crimes Against Women,Imprisonment,True,False,False,False,Priya Verma,Sandeep Yadav,1213,Case details here
214,CrPC,Crimes Against Children,Imprisonment,True,True,True,True,Neha Singh,Rahul Gupta,1214,Case details here
215,PMLA,Crimes Against SCs and STs,Imprisonment,False,True,True,False,Vikram Choudhary,Ananya Sen,1215,Case details here
216,PMLA,Economic Offence,Fine,True,True,False,True,Amit Sharma,Rahul Gupta,1216,Case details here
217,NDPS,Crimes Against Children,Fine,False,False,True,True,Anil Kapoor,Rahul Gupta,1217,Case details here
218,NDPS,Cyber Crime,Imprisonment,False,False,False,False,Sunita Mehta,Kiran Malhotra,1218,Case details here
219,IPC,Crimes Against SCs and STs,Fine,False,True,False,True,Neha Singh,Ananya Sen,1219,Case details here
220,IPC,Economic Offence,Fine,False,False,True,False,Amit Sharma,Deepak Joshi,1220,Case details here
221,CrPC,Crimes Against Women,Imprisonment,True,True,True,True,Rajesh Kumar,Deepak Joshi,1221,Case details here
222,IPC,Economic Offence,Fine,True,False,True,False,Neha Singh,Deepak Joshi,1222,Case details here
223,PMLA,Crimes Against Foreigners,Both,True,False,True,True,Amit Sharma,Kiran Malhotra,1223,Case details here
224,NDPS,Cyber Crime,Both,False,False,True,True,Vikram Choudhary,Rahul Gupta,1224,Case details here
225,IPC,Crimes Against SCs and STs,Both,False,True,False,True,Priya Verma,Sandeep Yadav,1225,Case details here
226,IPC,Crimes Against Women,Both,False,False,True,True,Priya Verma,Rahul Gupta,1226,Case details here
227,CrPC,Cyber Crime,Imprisonment,False,False,True,True,Amit Sharma,Rahul Gupta,1227,Case details here
228,CrPC,Economic Offence,Imprisonment,False,True,True,False,Sunita Mehta,Deepak Joshi,1228,Case details here
229,PMLA,Cyber Crime,Imprisonment,True,False,False,True,Rajesh Kumar,Manoj Tiwari,1229,Case details here
230,NDPS,Crimes Against SCs and STs,Both,False,True,True,False,Vikram Choudhary,Sandeep Yadav,1230,Case details here
231,CrPC,Offences Against the State,Both,True,True,False,False,Priya Verma,Manoj Tiwari,1231,Case details here
232,IPC,Cyber Crime,Fine,False,True,True,False,Vikram Choudhary,Rahul Gupta,1232,Case details here
233,NDPS,Crimes Against Foreigners,Fine,False,True,True,True,Priya Verma,Rahul Gupta,1233,Case details here
234,NDPS,Cyber Crime,Both,True,True,False,True,Amit Sharma,Rahul Gupta,1234,Case details here
235,IPC,Economic Offence,Both,True,False,True,True,Sunita Mehta,Manoj Tiwari,1235,Case details here
236,CrPC,Economic Offence,Both,False,True,True,False,Priya Verma,Rahul Gupta,1236,Case details here
237,IPC,Crimes Against Women,Both,False,True,False,True,Sunita Mehta,Sandeep Yadav,1237,Case details here
238,NDPS,Economic Offence,Fine,False,True,True,True,Rajesh Kumar,Kiran Malhotra,1238,Case details here
239,SCST Act,Crimes Against Children,Both,False,True,False,False,Neha Singh,Sandeep Yadav,1239,Case details here
240,SCST Act,Crimes Against SCs and STs,Fine,True,False,False,False,Amit Sharma,Sneha Roy,1240,Case details here
241,PMLA,Crimes Against SCs and STs,Both,False,True,False,False,Vikram Choudhary,Ananya Sen,1241,Case details here
242,IPC,Offences Against the State,Both,True,False,False,False,Vikram Choudhary,Deepak Joshi,1242,Case details here
243,IPC,Offences Against the State,Both,False,True,False,False,Vikram Choudhary,Deepak Joshi,1243,Case details here
244,PMLA,Crimes Against SCs and STs,Fine,True,False,True,False,Neha Singh,Manoj Tiwari,1244,Case details here
245,PMLA,Crimes Against Foreigners,Fine,True,True,True,True,Amit Sharma,Sneha Roy,1245,Case details here
246,PMLA,Offences Against the State,Imprisonment,False,True,True,False,Vikram Choudhary,Deepak Joshi,1246,Case details here
247,NDPS,Crimes Against Women,Both,True,False,False,True,Anil Kapoor,Rahul Gupta,1247,Case details here
248,IPC,Economic Offence,Imprisonment,False,True,False,True,Amit Sharma,Deepak Joshi,1248,Case details here
249,NDPS,Crimes Against SCs and STs,Imprisonment,True,False,False,True,Amit Sharma,Sandeep Yadav,1249,Case details here
250,PMLA,Offences Against the State,Fine,False,True,False,False,Amit Sharma,Kiran Malhotra,1250,Case details here
251,IPC,Crimes Against SCs and STs,Fine,True,False,True,True,Sunita Mehta,Ananya Sen,1251,Case details here
252,NDPS,Crimes Against Children,Imprisonment,False,True,True,False,Amit Sharma,Ananya Sen,1252,Case details here
253,NDPS,Cyber Crime,Both,False,True,False,False,Anil Kapoor,Manoj Tiwari,1253,Case details here
